State,lon,lat,Organisation,Name
Al Gezira,33.27675,14.59401,1,WHO
Blue Nile,34.12759,11.29742,10,"ADRA, FAO, IRW, PA, SC-S, UNFPA, UNICEF, WFP, WHO, WVI"
Central Darfur,23.35891,12.32557,29,"Alfajer, Alrahma, Areebo, CRS, DRC, FAO, HIH, IMC, INTERSOS, IRW, Labena, Mubadiroon, NCA, NEF, OCHA, SC-S, SDO, SOHA, SRCS, TDO, TF, TGH, UNFPA, UNHCR, UNICEF, WES, WFP, WHO, Zakia Center CBO"
East Darfur,26.46189,10.97722,16,"Almassar , AOSCD, ARC, Attamas, IRD, Merciful Hands, OCHA, SRCS, SSO, TF, UMCOR, UNICEF, WFP, White Hand, WHO, ZOA"
Gedaref,35.11349,14.11432,7,"FAO, JASMAR, SRCS, TACO, UNFPA, UNHCR, ZENAB"
Kassala,35.80979,15.81781,25,"Alshamal, CDF, Delta, FAO, FPDO, JASMAR, NDU, PANCARE, Roots, SOLO, SORD, SRCS, Talawiet, Training, Turath, UNDP, UNDSS, UNFPA, UNHCR, UNICEF, UNIDO, Vonchers, WFP, WHO, YAB"
Khartoum,32.84263,15.8512,36,"Alamal, Almanar, Alrahma, AMAL, Baladna, FAO, FPDO, IFAD, ILO, IMF, IOM, Local Action, Nuba, OCHA, PBA, Rufaid, Seema Center, SOED, SRCS, TACO, UNAIDS, UNDP, UNDSS, UNEP, UNESCO, UNFPA, UNHABITAT, UNHCR, UNIC, UNICEF, UNIDO, UNOPS, UNWomen, WB, WFP, WHO"
North Darfur,25.55175,16.22206,50,"AHA, AM, ANHAR, AOPD, CDO, COOPI, CRLRS, CRS, DDA, DDRA, DRA, FAO, FPDO, FRDN, GERMAN RC, GOAL, HAD, HRCSN, HSIO, IOM, JRS, KAEDS, KPHF, KSCS, MSF-E, NOHS, Oxfam A, PA, Plan Sudan, RED R, RI, SAG, SC-S, SEKAR, SHAKIR, SMOH, SOLO, SRC, SRCS, UKRDP, UNDP, UNFPA, UNHCR, UNICEF, VNRD, WDA , WFP, WHO, ZOA, ZULFA"
North Kordofan,29.74964,14.83836,7,"Al Sugya, AMAL, AORD, SDCO, UNDSS, Vetcare , WFP"
Northern,29.32989,19.56047,1,WHO
Red Sea,35.70204,19.83929,7,"FAO, FPDO, JASMAR, SRCS, UNIDO, WFP, WHO"
Sennar,34.04537,12.90734,4,"Alsalam, AMAL, SOLO, Zarga"
South Darfur,24.44487,10.9944,59,"ACS, Afag, Alhusna, Alrahma, Alshamil, Alshroog, ARC, AVO, CDF, CIS, Elradoom CO, EPDO, FAO, GFO, HAC, IAS, IIRO, IMC, IOM, JMCO, KPHF, KYCCBB, MCS, MoSW, MSF-B, Mubadiroon, Muslan Hands, Muslim Aid(UK), NCA, NIDO, NOCD, Noon, NRDO, OCHA, Oxfam A, PDNO, PODR, PREDO, Qatar Charity, RDN, RHF, Rufeida, S.MOE, SMOH, SPCR, SRCS, SSO, TF, UNAMID, UNFPA, UNHCR, UNICEF, UNOPS, UPO, WES, WFP, WHO, WVI, ZOA"
South Kordofan,30.83634,11.29126,43,"Almanar, Almassar, Aryaf, ASDO, ASSIST, Badya, CIS, CONCERN, FAO, FAR, FPDO, GAH, GHF, Good Plantation, GPBC, IAS, IOM, IRSA, Islamic Call, JVC, Labena, LAO, MCS, Mubadiroon, NCA, NIDAA, NVC, OCHA, PANCARE, Plan Sudan, SC-S, Sibro, SOLO, SOS Sahel, SRCS, TACO, Turath, UAD, UNDSS, UNHCR, UNICEF, WFP, WHO"
West Darfur,22.61681,13.51929,27,"ADRA, Al Ryadh Organization, CONCERN, COSV, CRS, FAO, FAR, HAI, IAS, IMC, INTERSOS, IOM, IRW, MSF-Switzerland, OCHA, QATAR RCS, SC-S, TGH, UNDP, UNDSS, UNFPA, UNHCR, UNICEF, WAR CHILD, WFP, WHO, WR"
West Kordofan,28.4143,11.95795,19,"Anganto, Blady, CONCERN, El Goni, GAA, GAH, GHH, GPBC, HSIO, IOM , Mubadiroon, SC-S, SECS, Shabab Lagawa , Sibro, SOLO, SOS Sahel, UNICEF , VSF"
White Nile,32.31813,13.36197,10,"Afag, Child Right, Elbir Charity, FPWA, GIMAM, SDCO, SOLO, SRCS, UNFPA, UNICEF"
