Sector,Organisation
CCS,CRS
CCS,HAC
CCS,IOM
CCS,IRW
CCS,OCHA
CCS,Plan Sudan
CCS,RED R
CCS,SAG
CCS,UNDSS
CCS,WFP
Education,Afag
Education,Almassar 
Education,Alrahma
Education,Alsalam
Education,AMAL
Education,AOPD
Education,Areebo
Education,ASDO
Education,Badya
Education,CDF
Education,CRS
Education,DRC
Education,El Goni
Education,GAH
Education,GOAL
Education,HRCSN
Education,HSIO
Education,IMC
Education,INTERSOS
Education,IRW
Education,JRS
Education,Labena
Education,LAO
Education,Local Action
Education,Mubadiroon
Education,Muslan Hands
Education,NCA
Education,NIDAA
Education,PBA
Education,Plan Sudan
Education,Qatar Charity
Education,Roots
Education,S.MOE
Education,SAG
Education,SC-S
Education,SDCO
Education,SOED
Education,SOLO
Education,SORD
Education,SPCR
Education,SRCS
Education,TDO
Education,TGH
Education,Turath
Education,UMCOR
Education,UNAMID
Education,UNICEF
Education,UPO
Education,WAR CHILD
Education,WES
Education,WFP
Education,White Hand
Education,WVI
Education,ZENAB
Education,ZOA
FSL,ADRA
FSL,Afag
FSL,AHA
FSL,Alhusna
FSL,Almassar 
FSL,Alrahma
FSL,Alshamal
FSL,Alshamil
FSL,Anganto
FSL,Aryaf
FSL,Attamas
FSL,AVO
FSL,CIS
FSL,CONCERN
FSL,COOPI
FSL,CRLRS
FSL,CRS
FSL,DDRA
FSL,Delta
FSL,DRA
FSL,DRC
FSL,Elradoom CO
FSL,EPDO
FSL,FAO
FSL,FAR
FSL,FPDO
FSL,FRDN
FSL,GAA
FSL,GHH
FSL,GOAL
FSL,Good Plantation
FSL,GPBC
FSL,HAI
FSL,HIH
FSL,IIRO
FSL,IRD
FSL,IRW
FSL,JASMAR
FSL,JMCO
FSL,KAEDS
FSL,KSCS
FSL,Labena
FSL,MCS
FSL,Merciful Hands
FSL,Mubadiroon
FSL,NCA
FSL,NEF
FSL,NIDAA
FSL,NOHS
FSL,Noon
FSL,Nuba
FSL,Oxfam A
FSL,PA
FSL,PDNO
FSL,PODR
FSL,PREDO
FSL,QATAR RCS
FSL,RI
FSL,SAG
FSL,SC-S
FSL,SDO
FSL,SECS
FSL,SEKAR
FSL,Shabab Lagawa 
FSL,SOHA
FSL,SOLO
FSL,SORD
FSL,SOS Sahel
FSL,SPCR
FSL,SRC
FSL,SRCS
FSL,TDO
FSL,TF
FSL,TGH
FSL,Training
FSL,UAD
FSL,UKRDP
FSL,UMCOR
FSL,UNDP
FSL,UNHCR
FSL,UPO
FSL,Vetcare 
FSL,VNRD
FSL,Vonchers
FSL,VSF
FSL,WAR CHILD
FSL,WDA 
FSL,WFP
FSL,WR
FSL,WVI
FSL,Zakia Center CBO
FSL,Zarga
FSL,ZENAB
FSL,ZOA
Health,Afag
Health,AM
Health,ANHAR
Health,ARC
Health,ASDO
Health,ASSIST
Health,CDO
Health,CIS
Health,CONCERN
Health,COSV
Health,FPDO
Health,FPWA
Health,GAH
Health,GERMAN RC
Health,GOAL
Health,HAD
Health,HAI
Health,HSIO
Health,IMC
Health,IOM
Health,IRSA
Health,IRW
Health,Islamic Call
Health,JASMAR
Health,KPHF
Health,Labena
