State,Locality,LID,Sector,Org_Type,Organisation
Al Gezira,Madani El Kobra (Greater Wad Madani),30,Health,UN,WHO
Blue Nile,EL Roseires,107,FSL,International NGO,ADRA
Blue Nile,Geissan,109,FSL,International NGO,ADRA
Blue Nile,Al Tadamon,108,WASH,International NGO,ADRA
Blue Nile,Bau,104,WASH,International NGO,ADRA
Blue Nile,El Damazine,105,WASH,International NGO,ADRA
Blue Nile,EL Roseires,107,WASH,International NGO,ADRA
Blue Nile,Geissan,109,WASH,International NGO,ADRA
Blue Nile,Al Tadamon,108,FSL,UN,FAO
Blue Nile,Bau,104,FSL,UN,FAO
Blue Nile,El Damazine,105,FSL,UN,FAO
Blue Nile,EL Roseires,107,FSL,UN,FAO
Blue Nile,Geissan,109,FSL,UN,FAO
Blue Nile,El Damazine,105,Education,International NGO,IRW
Blue Nile,EL Roseires,107,Education,International NGO,IRW
Blue Nile,El Kurmuk,106,FSL,International NGO,IRW
Blue Nile,Geissan,109,FSL,International NGO,IRW
Blue Nile,El Damazine,105,Protection,International NGO,IRW
Blue Nile,EL Roseires,107,Protection,International NGO,IRW
Blue Nile,El Damazine,105,WASH,International NGO,IRW
Blue Nile,EL Roseires,107,WASH,International NGO,IRW
Blue Nile,Bau,104,FSL,International NGO,PA
Blue Nile,EL Roseires,107,FSL,International NGO,PA
Blue Nile,Geissan,109,FSL,International NGO,PA
Blue Nile,Bau,104,Education,International NGO,SC-S
Blue Nile,Al Tadamon,108,Protection,International NGO,SC-S
Blue Nile,Bau,104,Protection,International NGO,SC-S
Blue Nile,El Damazine,105,Protection,International NGO,SC-S
Blue Nile,El Kurmuk,106,Protection,International NGO,SC-S
Blue Nile,Geissan,109,Protection,International NGO,SC-S
Blue Nile,EL Roseires,107,Health,UN,UNFPA
Blue Nile,Al Tadamon,108,Education,UN,UNICEF
Blue Nile,Bau,104,Education,UN,UNICEF
Blue Nile,El Damazine,105,Education,UN,UNICEF
Blue Nile,El Kurmuk,106,Education,UN,UNICEF
Blue Nile,EL Roseires,107,Education,UN,UNICEF
Blue Nile,Geissan,109,Education,UN,UNICEF
Blue Nile,Al Tadamon,108,Health,UN,UNICEF
Blue Nile,Bau,104,Health,UN,UNICEF
Blue Nile,El Damazine,105,Health,UN,UNICEF
Blue Nile,El Kurmuk,106,Health,UN,UNICEF
Blue Nile,EL Roseires,107,Health,UN,UNICEF
Blue Nile,Geissan,109,Health,UN,UNICEF
Blue Nile,Al Tadamon,108,Nutrition,UN,UNICEF
Blue Nile,Bau,104,Nutrition,UN,UNICEF
Blue Nile,El Damazine,105,Nutrition,UN,UNICEF
Blue Nile,El Kurmuk,106,Nutrition,UN,UNICEF
Blue Nile,EL Roseires,107,Nutrition,UN,UNICEF
Blue Nile,Geissan,109,Nutrition,UN,UNICEF
Blue Nile,Al Tadamon,108,Protection,UN,UNICEF
Blue Nile,Bau,104,Protection,UN,UNICEF
Blue Nile,El Damazine,105,Protection,UN,UNICEF
Blue Nile,El Damazine,105,Protection,UN,UNICEF
Blue Nile,El Kurmuk,106,Protection,UN,UNICEF
Blue Nile,Geissan,109,Protection,UN,UNICEF
Blue Nile,Al Tadamon,108,WASH,UN,UNICEF
Blue Nile,Bau,104,WASH,UN,UNICEF
Blue Nile,El Damazine,105,WASH,UN,UNICEF
Blue Nile,El Kurmuk,106,WASH,UN,UNICEF
Blue Nile,EL Roseires,107,WASH,UN,UNICEF
Blue Nile,Geissan,109,WASH,UN,UNICEF
Blue Nile,Al Tadamon,108,FSL,UN,WFP
Blue Nile,Bau,104,FSL,UN,WFP
Blue Nile,El Kurmuk,106,FSL,UN,WFP
Blue Nile,EL Roseires,107,FSL,UN,WFP
Blue Nile,Geissan,109,FSL,UN,WFP
Blue Nile,Al Tadamon,108,Health,UN,WHO
Blue Nile,Bau,104,Health,UN,WHO
Blue Nile,El Damazine,105,Health,UN,WHO
Blue Nile,El Kurmuk,106,Health,UN,WHO
Blue Nile,EL Roseires,107,Health,UN,WHO
Blue Nile,Geissan,109,Health,UN,WHO
Blue Nile,Bau,104,Education,International NGO,WVI
Blue Nile,El Damazine,105,Education,International NGO,WVI
Blue Nile,EL Roseires,107,Education,International NGO,WVI
Blue Nile,Geissan,109,Education,International NGO,WVI
Blue Nile,Bau,104,FSL,International NGO,WVI
Blue Nile,Geissan,109,FSL,International NGO,WVI
Blue Nile,El Damazine,105,Health,International NGO,WVI
Blue Nile,EL Roseires,107,Health,International NGO,WVI
Blue Nile,Geissan,109,Health,International NGO,WVI
Blue Nile,Bau,104,Nutrition,International NGO,WVI
Blue Nile,El Kurmuk,106,Nutrition,International NGO,WVI
Blue Nile,EL Roseires,107,Nutrition,International NGO,WVI
Blue Nile,Bau,104,Protection,International NGO,WVI
Blue Nile,El Damazine,105,Protection,International NGO,WVI
Blue Nile,EL Roseires,107,Protection,International NGO,WVI
Blue Nile,Geissan,109,Protection,International NGO,WVI
Blue Nile,Bau,104,WASH,International NGO,WVI
Blue Nile,Geissan,109,WASH,International NGO,WVI
Central Darfur,Umm Dukhun,135,Nutrition,National NGO,Alfajer
Central Darfur,Umm Dukhun,135,WASH,National NGO,Alfajer
Central Darfur,Wadi Salih,137,FSL,National NGO,Alrahma
Central Darfur,Zalingei,138,FSL,National NGO,Alrahma
Central Darfur,Zalingei,138,Education,National NGO,Areebo
